NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
3494,E2710001925201,菅原西公園,大阪府大阪市東淀川区菅原5-1,,,,1,1,,,,,34.73918928,135.5213555,
3495,E2710001926201,菅原小学校,大阪府大阪市東淀川区菅原6-3-25,1,,,,,,,,1,34.73918521,135.5232324,
3496,E2710001926202,菅原小学校（運動場）,大阪府大阪市東淀川区菅原6-3-25,,,,1,1,,,,1,34.73854161,135.5225797,
3497,E2710001927201,ラウンドワン東淀川店,大阪府大阪市東淀川区菅原7-14-29,1,,,,,,,,,34.742699,135.525305,
3498,E2710001929201,菅原北公園,大阪府大阪市東淀川区菅原7-9,,,,1,1,,,,,34.7421661,135.5232817,
3499,E2710001930201,市営日之出北住宅１号館,大阪府大阪市東淀川区西淡路1-10-10,1,,,,,,,,,34.73747127,135.5055258,
3500,E2710001931201,日之出北公園,大阪府大阪市東淀川区西淡路1-12,,,,1,1,,,,,34.73814823,135.504781,
3501,E2710001932201,日之出公園,大阪府大阪市東淀川区西淡路1-5,,,,1,1,,,,,34.73672967,135.5037014,
3502,E2710001933201,市営日之出北住宅２号館,大阪府大阪市東淀川区西淡路1-6-4,1,,,,,,,,,34.73710118,135.5041466,
3503,E2710001934201,市営日之出北住宅３号館,大阪府大阪市東淀川区西淡路1-8-3,1,,,,,,,,,34.737133,135.5047,
3504,E2710001935201,日之出南公園,大阪府大阪市東淀川区西淡路2-1,,,,1,1,,,,,34.7348199,135.5054891,
3505,E2710001936201,日之出住宅１０号館,大阪府大阪市東淀川区西淡路2-6,1,,,,,,,,,34.736306,135.506162,
3506,E2710001937201,西淡路公園,大阪府大阪市東淀川区西淡路3-1,,,,1,1,,,,,34.73833871,135.5085991,
3507,E2710001938201,もと西淡路小学校（運動場）,大阪府大阪市東淀川区西淡路3-14-11,,,,1,1,,,,1,34.74277065,135.5111337,
3508,E2710001940201,須賀森公園,大阪府大阪市東淀川区西淡路4-17,,,,1,1,,,,,34.74243493,135.5072883,
3509,E2710001941201,淡路中学校,大阪府大阪市東淀川区西淡路4-25-53,1,,,,,,,,1,34.74330989,135.5097995,
3510,E2710001941202,淡路中学校（運動場）,大阪府大阪市東淀川区西淡路4-25-53,,,,1,1,,,,1,34.74311153,135.5092434,
3511,E2710001942201,西淡路小学校,大阪府大阪市東淀川区西淡路5-5-32,1,,,,,,,,1,34.7429725,135.5112808,
3512,E2710001942202,西淡路小学校（運動場）,大阪府大阪市東淀川区西淡路5-5-32,,,,1,1,,,,1,34.742279,135.5112,
3513,E2710001943201,市営淡路住宅１号館,大阪府大阪市東淀川区西淡路5-9-1,1,,,,,,,,,34.74366656,135.5126023,
3514,E2710001944201,市営北陽住宅１号館,大阪府大阪市東淀川区西淡路6-2-1,1,,,,,,,,,34.74551796,135.5116617,
3515,E2710001945201,市営北陽住宅２号館,大阪府大阪市東淀川区西淡路6-2-2,1,,,,,,,,,34.74455263,135.5107336,
3516,E2710001946201,市営北陽住宅３号館,大阪府大阪市東淀川区西淡路6-2-3,1,,,,,,,,,34.74517855,135.511136,
3517,E2710001947201,ライフ西淡路店,大阪府大阪市東淀川区西淡路6-3-2,1,,,,,,,,,34.744671,135.51261,
3518,E2710001948201,キコーナ西淡路店（立体駐車場）,大阪府大阪市東淀川区西淡路6-4-120,1,,,,,,,,,34.744765,135.515654,
3519,E2710001949201,市営西淡路住宅４号館,大阪府大阪市東淀川区西淡路6-5-4,1,,,,,,,,,34.74626964,135.512523,
3520,E2710001950201,大阪高等学校（運動場）,大阪府大阪市東淀川区相川2-18-51,,,,1,1,,,,1,34.75887358,135.5357483,
3521,E2710001952201,大阪成蹊学園（運動場）,大阪府大阪市東淀川区相川3-5-9,,,,1,1,,,,,34.75917307,135.5380404,
